"","gr","count","Ratio"
"1","[0,30)",3884,0.841220731646948
"2","[30,60)",736,0.774226397739964
"3","[60,90)",256,0.741949152542373
"4","[90,120)",138,0.714810960804717
"5","[120,150)",85,0.6424045062489
"6","[150,180)",53,0.614236509758898
"7","[180,210)",20,0.646767466110532
"8","[210,240)",15,0.602438299137675
"9","[240,270)",12,0.717791411042945
"10","[270,300)",12,0.356100408639813
"11","[300,330)",6,0.346688034188034
"12","[330,360)",5,0.531667635095874
"13","[360,390)",1,0.0416666666666667
"14","[390,420)",2,0.0648030495552732
"15","[510,540)",2,0.500480307396734
